dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,27,150400,0.0000,1.1094,0.8306,0.8831,126.5000,22.8750
kv_retrieval,0,8576,0.0000,4.8438,0.5756,0.6045,17.1250,19.7500
kv_retrieval,1,8576,0.5195,4.7500,0.6367,0.6889,8.3750,9.3750
kv_retrieval,2,8576,0.0217,2.0469,0.5851,0.7349,9.6875,10.6875
kv_retrieval,3,8576,0.0110,2.2656,0.5689,0.7082,10.3750,9.6250
kv_retrieval,4,8576,0.0000,0.4512,0.6032,0.6244,23.2500,21.3750
kv_retrieval,5,8576,0.0000,0.6211,0.5642,0.7280,20.0000,19.0000
kv_retrieval,6,8576,0.0000,1.2812,0.5636,0.6500,31.8750,19.7500
kv_retrieval,7,8576,0.0000,0.9258,0.6057,0.6476,17.1250,16.2500
kv_retrieval,8,8576,0.0000,0.8672,0.5725,0.6623,23.3750,21.2500
kv_retrieval,9,8576,0.0072,1.2188,0.5938,0.6772,18.0000,15.1250
kv_retrieval,10,8576,0.0019,1.1406,0.5128,0.7008,19.7500,21.5000
kv_retrieval,11,8576,0.0004,0.9727,0.3803,0.6053,23.8750,22.0000
kv_retrieval,12,8576,0.0102,0.8672,0.5036,0.5950,23.6250,17.6250
kv_retrieval,13,8576,0.0052,1.1641,0.5416,0.6945,12.9375,15.1250
kv_retrieval,14,8576,0.0000,0.5273,0.6124,0.6501,15.2500,17.5000
kv_retrieval,15,8576,0.0000,0.8867,0.5711,0.6175,23.1250,19.0000
kv_retrieval,16,8576,0.0000,0.3457,0.5862,0.4983,16.7500,15.3125
kv_retrieval,17,8576,0.0000,0.6016,0.5466,0.5722,16.1250,16.1250
kv_retrieval,18,8576,0.0056,0.9609,0.5491,0.5478,18.6250,18.3750
kv_retrieval,19,8576,0.0002,0.5781,0.6529,0.5081,16.3750,18.6250
kv_retrieval,20,8576,0.0003,0.7461,0.5170,0.5666,15.0625,16.3750
kv_retrieval,21,8576,0.0000,0.4844,0.5636,0.5267,18.6250,16.7500
kv_retrieval,22,8576,0.0000,0.5312,0.5884,0.5600,15.6875,15.3750
kv_retrieval,23,8576,0.0000,0.5508,0.5608,0.5662,18.3750,16.1250
kv_retrieval,24,8576,0.0002,0.5000,0.5000,0.5977,12.7500,18.6250
kv_retrieval,25,8576,0.0000,0.6406,0.6342,0.6225,18.3750,17.3750
kv_retrieval,26,8576,0.0000,0.4980,0.6208,0.6593,15.3750,17.2500
kv_retrieval,27,8576,-0.0000,0.7383,0.6336,0.5839,99.5000,22.3750
kv_retrieval,0,50048,1.3828,6.2500,0.6825,0.8119,178.0000,19.7500
kv_retrieval,1,50048,0.2988,5.9062,0.8189,0.9193,16.0000,9.3750
kv_retrieval,2,50048,0.0001,2.5156,0.6864,0.9411,10.3125,10.7500
kv_retrieval,3,50048,0.0221,3.2969,0.7450,0.9337,9.7500,9.7500
kv_retrieval,4,50048,0.0001,0.6172,0.7469,0.8666,23.3750,21.6250
kv_retrieval,5,50048,0.0005,0.8125,0.7087,0.9209,26.6250,19.5000
kv_retrieval,6,50048,0.0000,1.5156,0.7199,0.8946,29.8750,20.0000
kv_retrieval,7,50048,0.0000,1.2891,0.7319,0.8685,18.3750,16.7500
kv_retrieval,8,50048,0.0000,0.9648,0.6978,0.8972,23.5000,21.8750
kv_retrieval,9,50048,0.0002,1.0312,0.7227,0.8931,16.7500,15.7500
kv_retrieval,10,50048,0.0000,1.0156,0.6599,0.8613,18.2500,22.2500
kv_retrieval,11,50048,0.0000,0.6289,0.5234,0.7974,21.8750,22.6250
kv_retrieval,12,50048,0.0205,1.0391,0.6496,0.8192,16.1250,18.2500
kv_retrieval,13,50048,0.0047,1.4062,0.6448,0.8918,24.6250,15.5000
kv_retrieval,14,50048,0.0000,0.4043,0.6978,0.8565,15.6250,17.7500
kv_retrieval,15,50048,0.0001,0.7695,0.7051,0.8564,25.3750,19.2500
kv_retrieval,16,50048,0.0001,0.3477,0.6180,0.7106,18.0000,15.5625
kv_retrieval,17,50048,0.0008,0.3594,0.6794,0.7593,16.3750,16.3750
